dx,category
033,ACS
390,ACS
391,ACS
037,ACS
045,ACS
345,ACS
481,ACS
483,ACS
485,ACS
486,ACS
462,ACS
463,ACS
465,ACS
011,ACS
012,ACS
013,ACS
014,ACS
015,ACS
016,ACS
017,ACS
018,ACS
491,ACS
492,ACS
494,ACS
496,ACS
493,ACS
681,ACS
682,ACS
683,ACS
686,ACS
590,ACS
260,ACS
261,ACS
262,ACS
521,ACS
522,ACS
523,ACS
525,ACS
528,ACS
382,ACS
428,ACS
413,ACS
614,ACS
7803,ACS
4721,ACS
2501,ACS
2502,ACS
2503,ACS
2508,ACS
2509,ACS
2500,ACS
2512,ACS
5589,ACS
5990,ACS
5999,ACS
2765,ACS
2680,ACS
2681,ACS
4660,ACS
4822,ACS
4823,ACS
4829,ACS
5184,ACS
4010,ACS
4019,ACS
4111,ACS
4118,ACS
3200,ACS
2801,ACS
2808,ACS
2809,ACS
7834,ACS
7070,ACS
7071,ACS
7078,ACS
7079,ACS
40201,ACS
40211,ACS
40291,ACS
40210,ACS
40290,ACS
40200,ACS
291,alcohol
303,alcohol
3050,alcohol
3575,alcohol
4255,alcohol
5353,alcohol
5710,alcohol
5712,alcohol
5713,alcohol
7903,alcohol
V704,alcohol
V113,alcohol
V791,alcohol
76071,alcohol
292,drug
304,drug
3052,drug
3053,drug
3054,drug
3055,drug
3056,drug
3057,drug
3058,drug
3059,drug
3576,drug
6483,drug
6555,drug
7795,drug
76072,drug
76073,drug
76075,drug
8,injury
9,injury
E8,injury
E90,injury
E91,injury
E92,injury
E93,injury
E94,injury
E96,injury
E97,injury
E98,injury
290,psych
293,psych
294,psych
295,psych
296,psych
297,psych
298,psych
299,psych
300,psych
301,psych
302,psych
306,psych
307,psych
308,psych
309,psych
310,psych
311,psych
312,psych
313,psych
314,psych
315,psych
316,psych
317,psych
318,psych
319,psych
E95,psych
6484,psych
V110,psych
V111,psych
V112,psych
V114,psych
V115,psych
V116,psych
V117,psych
V118,psych
V119,psych
V710,psych
V790,psych
